,name,album,artist,id,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,track_genre_split,mood_Calm,mood_Energetic,mood_Happy,mood_Sad
39,One In A Million,One In A Million,"Jordie Ireland, Ava Hayz",spotify:track:1Co9NGodpCCvWuIfe0PzIS,27,178424,0.748,0.327,0.551,1.43e-05,0.096,0.334,-5.772,0.0907,104.175,5.0,4.0,[],0.015683616,0.56418955,0.41648972,0.0036370058
40,IDGAF,Dua Lipa (Deluxe),Dua Lipa,spotify:track:76cy1WJvNGJTj78UqeA5zr,83,217946,0.836,0.0403,0.544,0.0,0.0824,0.51,-5.975,0.0943,97.028,7.0,4.0,"['dance pop', 'pop', 'uk pop']",0.005105136,0.7442959,0.25036055,0.00023844623
41,Come & Get It,Stars Dance,Selena Gomez,spotify:track:5U2m76qAMdr3gXI0g6ptlG,0,231986,0.349,0.0102,0.795,0.000138,0.0812,0.542,-4.133,0.0758,148.985,7.0,1.0,"['pop', 'post-teen pop']",0.3129691,0.006875695,0.36489654,0.31525862
42,Temperature,The Trinity,Sean Paul,spotify:track:0k2GOhqsrxDTAbFFSdNJjT,84,218573,0.951,0.106,0.6,0.0,0.0712,0.822,-4.675,0.0685,125.04,0.0,4.0,"['dance pop', 'dancehall', 'pop', 'pop rap']",0.0048129666,0.69895416,0.29601848,0.00021429911
43,Who Dat Girl (feat. Akon),Only One Flo (Part 1),"Flo Rida, Akon",spotify:track:7z73ehYAn9O1XP9XlCqVtd,60,200880,0.719,0.00683,0.616,3.11e-05,0.0742,0.625,-3.951,0.0395,124.963,1.0,4.0,"['dance pop', 'miami hip hop', 'pop', 'pop rap', 'dance pop']",0.040406354,0.60254806,0.35151488,0.00553075
44,True Colours,Storybook,Kasey Chambers,spotify:track:33XpXmKmVTopPKnxTgbVOD,0,225960,0.704,0.64,0.247,1.72e-06,0.085,0.236,-8.736,0.0297,86.952,0.0,4.0,"['australian americana', 'australian country', 'australian rock']",0.40157226,0.0010707377,0.05132161,0.54603535
46,Beneath Your Beautiful (feat. Emeli Sandé),Electronic Earth (Expanded Edition),"Labrinth, Emeli Sandé",spotify:track:2EcsgXlxz99UMDSPg5T8RF,72,271813,0.561,0.227,0.522,0.0,0.104,0.238,-5.857,0.0318,83.962,2.0,4.0,"['indie poptimism', 'pop', 'r&b', 'talent show']",0.3417472,0.024630478,0.010474488,0.62314785
47,Together,Together,Sia,spotify:track:5id3Rqn7SPj1LX4FfY4nGz,64,205207,0.521,0.0132,0.877,0.0806,0.0929,0.199,-5.444,0.0683,180.007,7.0,4.0,"['australian dance', 'australian pop', 'pop']",0.11122146,0.39327502,0.39903438,0.09646914
48,Sweat - Remix,Sweat (Snoop Dogg Vs. David Guetta) [Remix],"Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer",spotify:track:0R7YVi7w41Dr9jU5vblAok,73,195986,0.813,0.0597,0.732,0.00137,0.0826,0.731,-5.636,0.03,130.02,7.0,4.0,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap', 'big room', 'dance pop', 'edm', 'pop', 'pop dance']",0.026901681,0.51577467,0.45383635,0.003487211
49,True - Single Edit,True - The Digital E.P.,Spandau Ballet,spotify:track:0CsM8VGDi38kusMv3pxyj1,73,329146,0.742,0.459,0.533,0.148,0.064,0.391,-9.098,0.0288,97.395,0.0,4.0,"['new romantic', 'new wave', 'new wave pop', 'sophisti-pop', 'synthpop']",0.3443322,0.25916648,0.146305,0.2501964
50,One,x (Deluxe Edition),Ed Sheeran,spotify:track:5TvFfDlVoUWZvfqrhTJzD7,64,252760,0.464,0.877,0.321,0.0,0.0789,0.306,-11.12,0.0418,93.528,2.0,4.0,"['pop', 'singer-songwriter pop', 'uk pop']",0.4097013,0.00040201112,0.016965542,0.5729311
